「电信」,#genre#
上海电信-组播1
东方卫视,http://116.235.57.41:4022/rtp/239.45.3.146:5140
新闻综合,http://116.235.57.41:4022/rtp/239.45.3.209:5140
都市频道,http://116.235.57.41:4022/rtp/239.45.3.236:5140
东方影视,http://116.235.57.41:4022/rtp/239.45.3.237:5140
都市剧场,http://116.235.57.41:4022/rtp/239.45.3.136:5140
欢笑剧场,http://116.235.57.41:4022/rtp/239.45.3.196:5140
动漫秀场,http://116.235.57.41:4022/rtp/239.45.3.134:5140
哈哈炫动,http://116.235.57.41:4022/rtp/239.45.1.55:5140
法治天地,http://116.235.57.41:4022/rtp/239.45.1.46:5140
金色学堂,http://116.235.57.41:4022/rtp/239.45.0.9:5140
游戏风云,http://116.235.57.41:4022/rtp/239.45.3.131:5140
生活时尚,http://116.235.57.41:4022/rtp/239.45.3.132:5140
上海教育,http://116.235.57.41:4022/rtp/239.45.0.13:5140
东方财经,http://116.235.57.41:4022/rtp/239.45.0.17:5140
五星体育,http://116.235.57.41:4022/rtp/239.45.3.210:5140
第一财经,http://116.235.57.41:4022/rtp/239.45.3.211:5140
乐游纪实,http://116.235.57.41:4022/rtp/239.45.3.135:5140
CCTV-1综合,http://116.235.57.41:4022/rtp/239.45.3.145:5140
CCTV-2财经,http://116.235.57.41:4022/rtp/239.45.3.208:5140
CCTV-3综艺,http://116.235.57.41:4022/rtp/239.45.1.68:5140
CCTV-4中文国际,http://116.235.57.41:4022/rtp/239.45.0.2:5140
CCTV-5体育,http://116.235.57.41:4022/rtp/239.45.1.69:5140
CCTV-6电影,http://116.235.57.41:4022/rtp/239.45.1.70:5140
CCTV-7国防军事,http://116.235.57.41:4022/rtp/239.45.3.56:5140
CCTV-8电视剧,http://116.235.57.41:4022/rtp/239.45.1.71:5140
CCTV-9纪录,http://116.235.57.41:4022/rtp/239.45.3.4:5140
CCTV-10科教,http://116.235.57.41:4022/rtp/239.45.3.8:5140
CCTV-11戏曲,http://116.235.57.41:4022/rtp/239.45.1.196:5140
CCTV-12社会与法,http://116.235.57.41:4022/rtp/239.45.3.10:5140
CCTV-13新闻,http://116.235.57.41:4022/rtp/239.45.1.198:5140
CCTV-14少儿,http://116.235.57.41:4022/rtp/239.45.3.23:5140
CCTV-15音乐,http://116.235.57.41:4022/rtp/239.45.1.200:5140
CCTV-17农业农村,http://116.235.57.41:4022/rtp/239.45.3.52:5140
欢笑剧场4K,http://116.235.57.41:4022/rtp/239.45.1.4:5140
百事通电影4K,http://116.235.57.41:4022/rtp/239.45.1.42:5140
百事通少儿4K,http://116.235.57.41:4022/rtp/239.45.1.1:5140
百事通电影4K,http://116.235.57.41:4022/rtp/239.45.3.107:5140
百事通纪实4K,http://116.235.57.41:4022/rtp/239.45.1.10:5140
百事通体育,http://116.235.57.41:4022/rtp/239.45.3.139:5140
百事通科教,http://116.235.57.41:4022/rtp/239.45.1.29:5140
北京卫视,http://116.235.57.41:4022/rtp/239.45.3.229:5140
江苏卫视,http://116.235.57.41:4022/rtp/239.45.3.177:5140
浙江卫视,http://116.235.57.41:4022/rtp/239.45.3.178:5140
湖北卫视,http://116.235.57.41:4022/rtp/239.45.3.239:5140
湖南卫视,http://116.235.57.41:4022/rtp/239.45.3.228:5140
天津卫视,http://116.235.57.41:4022/rtp/239.45.1.124:5140
安徽卫视,http://116.235.57.41:4022/rtp/239.45.1.120:5140
